Item Number,Brand,Processor,GPU,Type,Maximum Resolution,Model,OS,Storage Type,Features,Price,SSD Capacity (GB),RAM Size (GB),Hard Drive Capacity (GB),Screen Size (in),Processor Speed (GHz)
85264983968,HP,Intel Core i5 10th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,HP 17-by2xxx,Windows 11 Home,HDD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, 45% NTSC • Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi and B, 8 threads) • Chipset: Intel Integrated SoC • Memory: 12 GB DDR4-3",300.0,931.51,12.0,16.0,17.0,1.6
85264983973,Dell,Intel Core i3 10th Gen.,Intel UHD Graphics,Notebook/Laptop,1366 x 768,Dell Inspiron 15 3593,Windows 11 Home,HDD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",279.0,128.0,16.0,1024.0,15.6,1.2
85264983978,Lenovo,Intel Celeron N,Intel HD Graphics,Computers,1366 x 768,Lenovo N22,Chrome OS,SSD,"16GB eMMC flash storage, 3. 5mm Headphone/Mic jack
•	model: 80SF0001US
•	Google Chrome OS, Bluetooth 4. 1, Burst frequency: 2. 16GHz
•	4GB DDR3 RAM, Color: Black, Integrated HD audio
•	802. 11ac Wireless LAN, Intel HD Graphics, SD card reader
•	Ports: HDMI port, The N22 Series 11. 6"" 16GB SSD Chromebook from Lenovo is designed, Two (2) SuperSpeed USB 3. 0 ports, Webcam and microphone, Wi-Fi, and composing papers

•	11. 6"" LED HD 1366x768 Display, such as checking emails, the N22 Chromebook can handle multitasking and everyday computing, watching videos, •	Intel Celeron N3050 Dual-Core 1. 6GHz CPU",39.95,16.0,4.0,16.0,11.6,1.6
85264983979,Dell,Intel Celeron,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,Dell Latitude 3189,Windows 10,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",154.99,128.0,4.0,128.0,11.6,1.1
85264983982,HP,Intel Core I5-8300H,Integrated Intel UHD Graphics 630,Notebook/Laptop,1600 x 900,HP Zbook 17 G5,Windows 10 Pro,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi,  Full Size Keyboard with Number Pad",649.99,256.0,8.0,256.0,17.3,2.3
85264983987,HP,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,HP Elitebook 840 G6,Windows 11 Pro,SSD,Wi-Fi,249.99,500.0,32.0,512.0,14.0,2.6
85264983993,Lenovo,Intel Celeron,Intel HD Graphics,Notebook/Laptop,1366 x 768,Lenovo 100e Chromebook,Chrome OS,SSD,"LED Display,  Stereo speakers,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",51.0,32.0,4.0,32.0,11.6,2.6
85264983995,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook,1920 x 1080,Latitude 13 7330 Rugged Extreme,Windows 11 Pro,SSD,Rugged,1449.99,256.0,16.0,256.0,13.3,2.6
85264983999,HP,Intel Core i3-1215U,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,15-dy5131wm,Windows 11 Home,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi,  16 GB Flash Drive",329.95,256.0,8.0,256.0,15.6,1.2
85264984006,Dell,Intel Core i3 6th Gen.,Intel UHD Graphics,Tablet,1920 x 1080,Latitude 3390,Windows 11 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",141.0,128.0,8.0,128.0,13.3,2.2
85264984007,Dell,Intel Core i7 10th Gen.,NVIDIA Quadro T2000,Notebook/Laptop,3840 x 2400,Dell Precision 5550,Windows 10 Pro,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",959.99,512.0,32.0,512.0,15.6,2.7
85264984010,Dell,Intel Celeron N,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,Dell Chromebook 11 3100,Chrome OS,eMMC,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Built-in Microphone",74.99,32.0,4.0,32.0,11.6,1.1
85264984019,Lenovo,intel core i5 8th gen,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Lenovo Thinkpad T580,Windows 11 Pro,SSD,"Bluetooth 4.1 Wireless, Thunderbolt 3port, 4-in-1 card reader (SD, MMC, SDHC, SDXC), Dolby Audio Premium, LED Backlit-Keyboard, 720p HD Camera with microphone",369.99,512.0,32.0,512.0,15.6,2.6
85264984029,HP,Intel Celeron,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,HP Chromebook x360,Chrome OS,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Convertible 2-in-1 Laptop/Tablet, Built-in Microphone",180.0,64.0,4.0,64.0,14.0,1.1
85264984034,HP,Intel Core i7 6th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Elitebook 840 G3,Windows 11 Pro,SSD,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",199.0,256.0,8.0,256.0,14.0,2.6
85264984043,Microsoft,Intel Core i5 10th Gen.,Intel HD Graphics,Notebook/Laptop,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen",259.84,256.0,8.0,256.0,13.5,1.5
85264984047,ASUS,Intel Core i3 11th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,ASUS VivoBook,Windows 11 Home,SSD,"Wi-Fi, Bluetooth, Built-in Webcam, Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard",292.95,256.0,8.0,256.0,15.6,1.8
85264984048,Dell,Intel Core i7 7th Gen.,Intel HD Graphics 630,Notebook/Laptop,1920 x 1080,5580,Windows 11 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",289.99,512.0,32.0,512.0,15.6,2.9
85264984052,HP,Intel core i7 4th gen,Intel HD Graphics 4600,Notebook/Laptop,1920 x 1080,HP ProBook,Windows 10 Pro,SSD,Wi-Fi,249.99,256.0,8.0,256.0,16.0,2.7
85264984060,HP,Intel Pentium Gold,Intel UHD Graphics,Notebook/Laptop,1366 x 768,HP 15-DW1083WM,Windows 10,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Built-in Microphone",170.0,128.0,4.0,128.0,15.6,2.4
85264984064,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,1366 x 768,Dell Latitude 7480,Windows 10 Pro,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",100.0,512.0,16.0,512.0,14.0,2.4
85264984066,Lenovo,Intel Celeron,Intel HD Graphics,Notebook/Laptop,1366 x 768,Lenovo 100e,Chrome OS,SSD,"LED Display, Stereo speakers, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi",55.0,32.0,4.0,32.0,11.6,2.6
85264984072,Lenovo,Intel Core i5,Intel HD Graphics,Notebook/Laptop,1920 x 1080,ThinkPad E15,Not Included,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  LED backlight,  TrackPoint,  multi-touch touchpad,  Spill-resistant",204.0,256.0,8.0,256.0,15.6,1.6
85264984081,Dell,Intel Core i7 6th Gen.,Intel HD Graphics 520,Notebook/Laptop,1920 x 1080,Dell Latitude 7480,Windows 10 Pro,SSD,Built-in Microphone,159.0,256.0,16.0,256.0,14.0,3.4
85264984085,HP,Intel Core i5-6300U,Intel HD 520 Graphics,Notebook/Laptop,1366 x 768,HP 840 G3,Windows 10 Pro,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi,  Wi-Fi Ready,  Gigabit Ethernet Port,  New Windows 10 Full Version Preinstalled,  Windows Recovery Solution For Re-installations,  Microsoft Windows Antivirus,  Free Open Office (Writer - Calc -Draw -Spreadsheet)",179.99,256.0,16.0,256.0,14.0,2.4
85264984089,Lenovo,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T490S,Windows 11 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",199.0,256.0,16.0,256.0,14.0,1.6
85264984097,Lenovo,Intel Core i5 8th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T480s,Windows 11 Pro,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Touch ID,  Wi-Fi",279.99,500.0,16.0,512.0,14.0,1.7
85264984102,Dell,Intel Celeron,Intel HD Graphics,Tablet,1366 x 768,Dell Chromebook 3189,Chrome OS,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi, Tablet PC",94.99,32.0,4.0,32.0,11.6,2.48
85264984104,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,15-dy2795wm,‎Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Built-in Microphone",369.95,256.0,8.0,256.0,15.6,2.4
85264984108,Acer,Intel Celeron N4500,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Acer Aspire 1,Windows 11 Home,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",399.0,1024.0,20.0,1024.0,15.6,1.1
85264984110,HP,Intel Celeron N,Intel HD Graphics,Notebook/Laptop,1366 x 768,HP Chromebook 11 G4,Chrome OS,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",59.95,16.0,4.0,16.0,11.6,2.16
85264984111,Lenovo,Intel Celeron N,Intel HD Graphics,Notebook/Laptop,1366 x 768,Lenovo Thinkpad Yoga 11e,Windows 10 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",99.99,128.0,4.0,128.0,11.6,1.6
85264984120,HP,Intel Celeron,Intel HD Graphics,Notebook/Laptop,1366 x 768,HP Chromebook 11 G5,Chrome OS,SSD,"Bluetooth, Built-in Webcam",56.0,16.0,4.0,16.0,11.6,1.6
85264984130,Dell,Intel Core i5 8th Gen.,Intel HD Graphics,Notebook/Laptop,1366 x 768,Dell Latitude 3490,Not Included,SSD,"Backlit Keyboard, Wi-Fi, Built-in Microphone, Touchscreen, 10/100 LAN Card, Touch ID, 3D Camera, Widescreen Display, Built-in Webcam, Multi-Touch Trackpad, Force Touch Trackpad, Bluetooth",98.0,256.0,8.0,512.0,14.0,1.6
85264984134,Acer,Intel Celeron,Intel HD Graphics 510,Notebook/Laptop,1366 x 768,Chromebook 11 C771-C4TM,Chrome OS,SSD,"SD Card Reader, Spill Resistant Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",40.0,32.0,4.0,32.0,11.6,1.6
85264984136,Dell,Intel Core i5 4th Gen. 2.70GHz,Intel HD Graphics 4000,Notebook/Laptop,1366 x 768,Core i5,Windows 10,SSD,Wi-Fi,229.0,1024.0,16.0,1024.0,14.0,2.7
85264984139,Lenovo,AMD Ryzen 7,AMD Radeon Graphics,Notebook/Laptop,1920 x 1200,Lenovo ThinkPad L13 Yoga,Windows 11 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Touchscreen, Wi-Fi",660.19,1024.0,16.0,1024.0,13.0,2.0
85264984146,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics,Notebook/Laptop,0,Dell Latitude 7490,Windows 10 Pro,SSD,"Bluetooth, Built-in Webcam, Built-in Microphone",229.97,512.0,32.0,512.0,14.0,3.9
85264984147,Lenovo,Intel Celeron,AMD Radeon Graphics,Notebook/Laptop,1366 x 768,Lenovo 100e,Windows 10 Pro,SSD,Built-in Webcam,109.99,64.0,64.0,64.0,11.5,1.1
85264984155,Samsung,Intel Core i5 2nd Gen.,Intel HD Graphics 3000,Subnotebook/Ultraportable,1366 x 768,Samsung Series 7,Windows 10,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Widescreen Display,  Wi-Fi",129.99,128.0,4.0,128.0,11.6,1.6
85264984157,ASUS,Intel Core i3 12th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,ASUS VivoBook,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Multi-Touch Trackpad, Backlit Keyboard, Touch ID, Force Touch Trackpad, Built-in Microphone",349.0,512.0,8.0,512.0,17.3,1.5
85264984158,HP,Intel Core i7 7th Gen.,AMD Radeon R7 M350,Notebook/Laptop,1920 x 1080,Hp Elitebook 850 G4,Windows 10 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",325.0,512.0,16.0,512.0,15.6,2.8
85264984163,Lenovo,Intel Core i7 10th Gen.,Intel UHD Graphics for 10th Generation Processors,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad X1 Yoga (5th Gen),Windows 11 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen, Wi-Fi",489.99,1024.0,16.0,1024.0,14.0,1.8
85264984176,HP,Intel Core i3 11th Gen.,Intel UHD Graphics,Notebook/Laptop,0,HP 14-DQ2032WM,Windows 11 Home,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",281.04,128.0,4.0,128.0,14.0,2.9
85264984178,Lenovo,Intel Celeron N,Intel HD Graphics,Notebook/Laptop,1366 x 768,Lenovo Chromebook N40-20,Chrome OS,SSD,"Bluetooth, Wi-Fi, Built-in Webcam",51.0,16.0,4.0,16.0,14.0,1.6
85264984186,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Dell Latitude 7390,Windows 10 Pro,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",120.0,256.0,8.0,256.0,13.3,3.6
85264984191,Dell,Intel Celeron N,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,Dell Chromebook 11 3100,Chrome OS,eMMC,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Built-in Microphone",74.99,32.0,4.0,32.0,11.6,1.1
85264984192,HP,Intel Core i7 6th Gen.,Intel HD Graphics,Notebook/Laptop,1920 x 1080,HP EliteBook 850,Windows 10,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",169.99,256.0,8.0,8.0,15.6,2.6
85264984223,ASUS,Intel Core i7,NVIDIA GeForce RTX 2060,Notebook/Laptop,3840 x 2160,ASUS ROG Zephyrus,Windows 10,SSD,"Bluetooth, Wi-Fi, Virtual Reality Ready, Backlit Keyboard, Built-in Microphone",600.0,1024.0,16.0,1024.0,15.6,2.6
85264984231,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Lenovo IdeaPad 5,Windows 10 Home 64,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",549.95,512.0,12.0,512.0,15.6,4.7
85264984247,Lenovo,Intel Core i5 10th Gen.,Integrated Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Lenovo Yoga 13,Windows 11 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",362.26,512.0,16.0,512.0,13.3,4.2
85264984248,Toshiba,Intel Celeron,Intel UHD Graphics,Laptop,1366 x 768,Satellite Pro,Windows 10,HDD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",50.62,128.0,4.0,128.0,15.6,1.9
85264984257,HP,Intel Core i5 8th Gen.,AMD Radeon Graphics,Notebook/Laptop,1920 x 1080,HP EliteBook x360 1030 G4,Windows 10 Pro,SSD,"Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi",239.16,256.0,8.0,256.0,13.3,1.6
85264984267,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1366 x 768,Dell Latitude 5590,Windows 11 Pro,SSD,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam",339.99,1024.0,32.0,1024.0,15.6,1.9
85264984268,HP,Intel Core i5 8th Gen.,AMD Radeon Graphics,Notebook/Laptop,1920 x 1080,HP EliteBook x360 1030 G4,Windows 10 Pro,SSD,"Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi",239.16,256.0,8.0,256.0,13.3,1.6
85264984273,Samsung,Intel Celeron N3050 1.6GHz Dual-Core,Intel HD Graphics,Notebook/Laptop,1366 x 768,Samsung Chromebook 3,Chrome OS,SSD,"Bluetooth,  Built-in Webcam,  Wi-Fi",49.0,16.0,2.0,16.0,11.6,1.6
85264984281,Acer,Intel Celeron N,Intel HD Graphics 400,Notebook/Laptop,1366 x 768,C731T,Chrome OS,eMMC,Touchscreen,54.0,32.0,4.0,32.0,11.6,2.48
85264984286,SGIN,Intel Celeron N,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,SGIN-M15,Windows 11 Home,HDD,"Bluetooth, Built-in Webcam, Built-in Microphone",159.0,128.0,4.0,128.0,15.6,1.1
85264984313,Dell,Intel Core i5 3rd Gen.,Intel HD Graphics 4000,Notebook/Laptop,1366 x 768,Dell Latitude E6230,Windows 11 Pro,SSD,"10/100 LAN Card, 3D Camera, Wi-Fi, Bluetooth",110.0,128.0,8.0,128.0,12.0,2.6
85264984319,HP,Intel Pentium Gold,Intel UHD Graphics,Notebook/Laptop,1366 x 768,HP 15-DW1083WM,Windows 10,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Built-in Microphone",170.0,128.0,4.0,128.0,15.6,2.4
85264984324,Dell,Intel Core i7 3rd Gen.,Intel HD Graphics 4000,Notebook/Laptop,1366 x 768,Dell Latitude E6530,Windows 10 Pro,SSD,"Widescreen Display, Bluetooth, Optical Drive, 10/100 LAN Card, Built-in Webcam, Wi-Fi, Built-in Microphone, Backlit Keyboard",79.95,256.0,8.0,24.0,15.6,2.7
85264984325,Lenovo,Intel Core i5-6300U,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T470,Windows 11 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",179.5,128.0,8.0,128.0,14.0,2.4
85264984334,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Notebook/Laptop,1366 x 768,Dell Latitude 7480,Windows 10 Pro,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",100.0,512.0,16.0,512.0,14.0,2.4
85264984338,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,HP Pavilion x360,Windows 11 Home,SSD,"Touch ID, Multi-Touch Trackpad, Bluetooth, Wi-Fi, Force Touch Trackpad, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Convertible 2-in-1 Laptop/Tablet",299.97,256.0,8.0,256.0,14.0,2.4
85264984349,ASUS,AMD Ryzen 7,NVIDIA GeForce RTX 3050,Notebook/Laptop,2880 x 1800,ASUS VivoBook Pro 14 OLED,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",806.0,1024.0,16.0,1024.0,14.0,3.2
85264984350,Acer,Intel Celeron N,Intel HD Graphics 400,Notebook/Laptop,1366 x 768,C731T,Chrome OS,eMMC,Touchscreen,54.0,32.0,4.0,32.0,11.6,2.48
85264984359,HP,Intel Celeron,Intel UHD Graphics 600,Notebook,1366 x 768,14 G6,Chrome OS,eMMC,"Bluetooth,  Built-in Microphone,  Touchscreen,  Wi-Fi,  Built-In Webcam",139.99,32.0,4.0,32.0,14.0,1.1
85264984369,Razer,Intel Core i7 11th Gen.,NVIDIA GeForce RTX 3070,Notebook,3840 x 2400,Razer Blade,Linux,SSD,"10/100 LAN Card, 5G, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Double Screen, Touch Bar, Virtual Reality Ready, Widescreen Display, Wi-Fi",2339.0,1024.0,64.0,1024.0,15.6,3.8
85264984371,Acer,Intel Core i3 11th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Acer Aspire 3,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",249.89,128.0,4.0,128.0,15.6,4.1
85264984373,HP,Intel Core i5 5th Gen.,Intel HD Graphics 5500,Notebook/Laptop,1366 x 768,HP 850 G2,Windows 11,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",199.0,256.0,16.0,256.0,15.6,2.2
85264984374,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Notebook/Laptop,1920 x 1080,Core i7-1165U,Windows 11,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi, Fingerprint Reader",569.85,512.0,12.0,512.0,15.6,4.7
85264984376,Dell,Intel Core i5 7th Gen.,Intel HD Graphics 620,Notebook/Laptop,1920 x 1080,Dell Latitude 5289,Windows 10 Pro,SSD,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",166.96,240.0,16.0,256.0,12.5,2.6
85264984377,Samsung,Intel Celeron,Intel HD Graphics,Notebook/Laptop,1366 x 768,Samsung Chromebook 3,Chrome OS,SSD,"Wi-Fi,  Built-in Webcam,  Bluetooth,  Touchscreen,  Backlit Keyboard",38.0,16.0,4.0,16.0,11.6,2.5
85264984380,HP,Intel Celeron,Intel HD Graphics,Notebook/Laptop,1366 x 768,HP Chromebook 11 G5,Chrome OS,SSD,"Bluetooth, Built-in Webcam",54.0,16.0,4.0,16.0,11.6,1.6
85264984382,ASUS,Intel Core i7-4700 @ 2.4 GHz,nvidia 850m,Notebook/Laptop,1920 x 1080,N550J,Windows 10,HDD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  1 GB NIC",295.0,500.0,16.0,512.0,15.0,2.4
85264984390,Lenovo,Intel Celeron,Integrated,Chromebook,1366 x 768,Samsung ChromeBook,Chrome OS,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Built-in Microphone",110.0,32.0,32.0,32.0,11.6,1.1
85264984400,Dell,Intel Celeron,Intel UHD Graphics 600,Notebook/Laptop,1366 x 768,Dell Latitude 3190,Windows 10,SSD,Touchscreen,90.0,128.0,4.0,128.0,11.6,1.1
85264984401,HP,Intel Celeron,Intel HD Graphics 500,Notebook/Laptop,1366 x 768,Chromebook 11 G6 EE,Chrome OS,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",100.0,16.0,4.0,16.0,11.6,1.1
85264984410,Lenovo,Intel Core i5-6300U,Intel HD Graphics,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad T470,Windows 11 Pro,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",179.5,128.0,8.0,128.0,14.0,2.4
85264984413,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Dell Latitude 7390,Windows 10 Pro,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",120.0,256.0,8.0,256.0,13.3,3.6
85264984414,Microsoft,AMD Ryzen 7,AMD Radeon Graphics,Notebook/Laptop,0,Microsoft Surface Laptop 4,Windows 11 Home,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",739.0,512.0,8.0,512.0,15.0,2.0
85264984416,Lenovo,Intel Core i5 6th Gen.,Intel HD Graphics 520,Notebook/Laptop,0,Lenovo ThinkPad E460,Windows 10,SSD,"5G, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",95.0,256.0,8.0,465.0,14.0,2.4
85264984430,Lenovo,AMD Ryzen 5,NVIDIA GeForce RTX 3050,Notebook/Laptop,1920 x 1080,Lenovo IdeaPad Gaming 3,Windows 11 Home,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Virtual Reality Ready, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",599.88,256.0,8.0,256.0,15.6,3.3
85264984435,HP,AMD Ryzen 7,AMD Radeon Graphics,Notebook/Laptop,1920 x 1080,Ryzen 7 5700U,Windows 11,SSD,"B&O Play Sound, Edge-to-Edge Display, microSD Card Slot, Slim Design, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",454.37,512.0,8.0,512.0,15.6,4.3
85264984443,Lenovo,Intel Core i5 10th Gen.,NVIDIA GeForce GTX 1650,Notebook/Laptop,1920 x 1080,Yoga Creator 7i,Windows 10,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",1012.28,512.0,8.0,512.0,15.6,2.5
85264984446,Acer,Intel Celeron N,Intel HD Graphics 400,Notebook/Laptop,1366 x 768,C731T,Chrome OS,eMMC,Touchscreen,54.0,32.0,4.0,32.0,11.6,2.48
85264984470,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1366 x 768,Dell Latitude 5590,Windows 11 Pro,SSD,"10/100 LAN Card,  Bluetooth,  Built-in Microphone,  Built-in Webcam",419.99,1024.0,32.0,1024.0,15.6,1.9
85264984476,Lenovo,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,20NY-S3Y600,Windows 10,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",187.99,256.0,8.0,256.0,14.0,1.6
85264984477,HP,Intel Core i5 6th Gen.,Intel HD Graphics 520,Notebook/Laptop,1920 x 1080,HP ProBook 440 G3,Windows 11 Pro,HDD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",100.0,128.0,8.0,512.0,15.6,2.4
85264984489,Dell,AMD Ryzen 5,AMD Radeon Graphics,Notebook/Laptop,1920 x 1080,Dell Inspiron 14 7405 2 in 1,Windows 11,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",299.0,256.0,8.0,256.0,14.0,2.1
85264984491,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Dell Latitude 7390,Windows 10 Pro,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",249.0,256.0,8.0,256.0,13.3,1.7
